Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2026-04-01T00:00Z,166,167,moderate
2026-04-01T00:30Z,165,169,moderate
2026-04-01T01:00Z,166,170,moderate
2026-04-01T01:30Z,163,166,moderate
2026-04-01T02:00Z,164,161,moderate
2026-04-01T02:30Z,169,159,moderate
2026-04-01T03:00Z,170,151,high
2026-04-01T03:30Z,169,149,moderate
2026-04-01T04:00Z,177,147,high
2026-04-01T04:30Z,180,147,high
2026-04-01T05:00Z,182,154,high
2026-04-01T05:30Z,189,164,high
2026-04-01T06:00Z,186,186,high
2026-04-01T06:30Z,184,196,high
2026-04-01T07:00Z,177,196,high
2026-04-01T07:30Z,176,192,high
2026-04-01T08:00Z,168,188,moderate
2026-04-01T08:30Z,157,184,moderate
2026-04-01T09:00Z,149,177,moderate
2026-04-01T09:30Z,144,169,moderate
2026-04-01T10:00Z,140,157,moderate
2026-04-01T10:30Z,136,146,moderate
2026-04-01T11:00Z,133,133,moderate
2026-04-01T11:30Z,133,121,moderate
2026-04-01T12:00Z,131,110,moderate
2026-04-01T12:30Z,132,111,moderate
2026-04-01T13:00Z,134,107,moderate
2026-04-01T13:30Z,132,109,moderate
2026-04-01T14:00Z,131,107,moderate
2026-04-01T14:30Z,131,107,moderate
2026-04-01T15:00Z,135,111,moderate
2026-04-01T15:30Z,138,117,moderate
2026-04-01T16:00Z,148,131,moderate
2026-04-01T16:30Z,156,151,moderate
2026-04-01T17:00Z,170,152,high
2026-04-01T17:30Z,176,156,high
2026-04-01T18:00Z,174,154,high
2026-04-01T18:30Z,176,175,high
2026-04-01T19:00Z,171,174,high
2026-04-01T19:30Z,166,173,moderate
2026-04-01T20:00Z,167,169,moderate
2026-04-01T20:30Z,163,166,moderate
2026-04-01T21:00Z,161,150,moderate
2026-04-01T21:30Z,156,141,moderate
2026-04-01T22:00Z,142,153,moderate
2026-04-01T22:30Z,146,149,moderate
2026-04-01T23:00Z,148,149,moderate
2026-04-01T23:30Z,145,151,moderate
2026-04-02T00:00Z,144,153,moderate
2026-04-02T00:30Z,147,140,moderate
2026-04-02T01:00Z,141,157,moderate
2026-04-02T01:30Z,134,162,moderate
2026-04-02T02:00Z,123,146,moderate
2026-04-02T02:30Z,124,143,moderate
2026-04-02T03:00Z,130,131,moderate
2026-04-02T03:30Z,133,128,moderate
2026-04-02T04:00Z,138,134,moderate
2026-04-02T04:30Z,140,135,moderate
2026-04-02T05:00Z,154,146,moderate
2026-04-02T05:30Z,160,152,moderate
2026-04-02T06:00Z,163,167,moderate
2026-04-02T06:30Z,163,173,moderate
2026-04-02T07:00Z,144,167,moderate
2026-04-02T07:30Z,139,166,moderate
2026-04-02T08:00Z,131,144,moderate
2026-04-02T08:30Z,125,139,moderate
2026-04-02T09:00Z,118,134,moderate
2026-04-02T09:30Z,113,129,moderate
2026-04-02T10:00Z,106,122,moderate
2026-04-02T10:30Z,101,114,moderate
2026-04-02T11:00Z,102,109,moderate
2026-04-02T11:30Z,94,106,moderate
2026-04-02T12:00Z,92,102,moderate
2026-04-02T12:30Z,84,107,low
2026-04-02T13:00Z,84,95,low
2026-04-02T13:30Z,78,93,low
2026-04-02T14:00Z,73,87,low
2026-04-02T14:30Z,74,87,low
2026-04-02T15:00Z,81,81,low
2026-04-02T15:30Z,90,92,moderate
2026-04-02T16:00Z,111,106,moderate
2026-04-02T16:30Z,126,113,moderate
2026-04-02T17:00Z,139,132,moderate
2026-04-02T17:30Z,146,143,moderate
2026-04-02T18:00Z,158,149,moderate
2026-04-02T18:30Z,159,146,moderate
2026-04-02T19:00Z,152,142,moderate
2026-04-02T19:30Z,149,134,moderate
2026-04-02T20:00Z,153,138,moderate
2026-04-02T20:30Z,144,125,moderate
2026-04-02T21:00Z,146,143,moderate
2026-04-02T21:30Z,129,130,moderate
2026-04-02T22:00Z,112,140,moderate
2026-04-02T22:30Z,103,135,moderate
2026-04-02T23:00Z,94,110,moderate
2026-04-02T23:30Z,90,105,moderate
2026-04-03T00:00Z,88,97,low
2026-04-03T00:30Z,85,92,low
2026-04-03T01:00Z,83,91,low
2026-04-03T01:30Z,79,93,low
2026-04-03T02:00Z,82,86,low
2026-04-03T02:30Z,82,81,low
2026-04-03T03:00Z,71,83,low
2026-04-03T03:30Z,66,82,low
2026-04-03T04:00Z,64,73,low
2026-04-03T04:30Z,65,68,low
2026-04-03T05:00Z,72,63,low
2026-04-03T05:30Z,72,63,low
2026-04-03T06:00Z,73,60,low
2026-04-03T06:30Z,75,64,low
2026-04-03T07:00Z,61,60,low
2026-04-03T07:30Z,59,61,low
2026-04-03T08:00Z,60,61,low
2026-04-03T08:30Z,59,60,low
2026-04-03T09:00Z,60,63,low
2026-04-03T09:30Z,59,61,low
2026-04-03T10:00Z,56,60,low
2026-04-03T10:30Z,52,59,low
2026-04-03T11:00Z,49,58,low
2026-04-03T11:30Z,49,59,low
2026-04-03T12:00Z,48,58,low
2026-04-03T12:30Z,42,55,low
