Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2025-08-01T00:00Z,88,115,low
2025-08-01T00:30Z,85,91,low
2025-08-01T01:00Z,86,87,low
2025-08-01T01:30Z,81,87,low
2025-08-01T02:00Z,79,84,low
2025-08-01T02:30Z,73,85,low
2025-08-01T03:00Z,68,78,low
2025-08-01T03:30Z,68,73,low
2025-08-01T04:00Z,78,68,low
2025-08-01T04:30Z,74,70,low
2025-08-01T05:00Z,90,77,low
2025-08-01T05:30Z,91,77,low
2025-08-01T06:00Z,78,85,low
2025-08-01T06:30Z,76,80,low
2025-08-01T07:00Z,70,72,low
2025-08-01T07:30Z,67,71,low
2025-08-01T08:00Z,72,65,low
2025-08-01T08:30Z,69,63,low
2025-08-01T09:00Z,75,71,low
2025-08-01T09:30Z,72,66,low
2025-08-01T10:00Z,72,72,low
2025-08-01T10:30Z,73,69,low
2025-08-01T11:00Z,76,70,low
2025-08-01T11:30Z,72,73,low
2025-08-01T12:00Z,70,81,low
2025-08-01T12:30Z,68,68,low
2025-08-01T13:00Z,68,68,low
2025-08-01T13:30Z,72,66,low
2025-08-01T14:00Z,70,65,low
2025-08-01T14:30Z,67,66,low
2025-08-01T15:00Z,60,57,low
2025-08-01T15:30Z,61,60,low
2025-08-01T16:00Z,63,57,low
2025-08-01T16:30Z,70,59,low
2025-08-01T17:00Z,84,62,low
2025-08-01T17:30Z,92,67,low
2025-08-01T18:00Z,100,82,moderate
2025-08-01T18:30Z,104,93,moderate
2025-08-01T19:00Z,99,96,low
2025-08-01T19:30Z,99,107,low
2025-08-01T20:00Z,101,98,moderate
2025-08-01T20:30Z,93,105,low
2025-08-01T21:00Z,92,106,low
2025-08-01T21:30Z,88,97,low
2025-08-01T22:00Z,77,91,low
2025-08-01T22:30Z,67,94,low
2025-08-01T23:00Z,65,86,low
2025-08-01T23:30Z,64,87,low
2025-08-02T00:00Z,65,85,low
2025-08-02T00:30Z,66,66,low
2025-08-02T01:00Z,65,68,low
2025-08-02T01:30Z,65,68,low
2025-08-02T02:00Z,65,67,low
2025-08-02T02:30Z,68,65,low
2025-08-02T03:00Z,69,65,low
2025-08-02T03:30Z,70,66,low
2025-08-02T04:00Z,72,72,low
2025-08-02T04:30Z,73,73,low
2025-08-02T05:00Z,76,72,low
2025-08-02T05:30Z,78,58,low
2025-08-02T06:00Z,74,74,low
2025-08-02T06:30Z,76,72,low
2025-08-02T07:00Z,90,72,low
2025-08-02T07:30Z,86,69,low
2025-08-02T08:00Z,76,84,low
2025-08-02T08:30Z,73,85,low
2025-08-02T09:00Z,70,72,low
2025-08-02T09:30Z,67,68,low
2025-08-02T10:00Z,62,66,low
2025-08-02T10:30Z,62,67,low
2025-08-02T11:00Z,64,61,low
2025-08-02T11:30Z,67,60,low
2025-08-02T12:00Z,68,62,low
2025-08-02T12:30Z,66,65,low
2025-08-02T13:00Z,69,70,low
2025-08-02T13:30Z,68,65,low
2025-08-02T14:00Z,69,68,low
2025-08-02T14:30Z,71,68,low
2025-08-02T15:00Z,71,69,low
2025-08-02T15:30Z,79,70,low
2025-08-02T16:00Z,80,77,low
2025-08-02T16:30Z,93,83,low
2025-08-02T17:00Z,108,97,moderate
2025-08-02T17:30Z,119,106,moderate
2025-08-02T18:00Z,124,116,moderate
2025-08-02T18:30Z,132,130,moderate
2025-08-02T19:00Z,135,131,moderate
2025-08-02T19:30Z,134,136,moderate
2025-08-02T20:00Z,134,138,moderate
2025-08-02T20:30Z,128,135,moderate
2025-08-02T21:00Z,124,123,moderate
2025-08-02T21:30Z,112,121,moderate
2025-08-02T22:00Z,95,116,low
2025-08-02T22:30Z,86,107,low
2025-08-02T23:00Z,91,93,low
2025-08-02T23:30Z,87,90,low
2025-08-03T00:00Z,82,85,low
2025-08-03T00:30Z,83,83,low
2025-08-03T01:00Z,84,83,low
2025-08-03T01:30Z,82,82,low
2025-08-03T02:00Z,84,81,low
2025-08-03T02:30Z,83,76,low
2025-08-03T03:00Z,82,83,low
2025-08-03T03:30Z,85,82,low
2025-08-03T04:00Z,86,83,low
2025-08-03T04:30Z,83,86,low
2025-08-03T05:00Z,82,83,low
2025-08-03T05:30Z,81,80,low
2025-08-03T06:00Z,83,79,low
2025-08-03T06:30Z,80,77,low
2025-08-03T07:00Z,87,72,low
2025-08-03T07:30Z,85,100,low
2025-08-03T08:00Z,84,76,low
2025-08-03T08:30Z,79,77,low
2025-08-03T09:00Z,73,74,low
2025-08-03T09:30Z,73,78,low
2025-08-03T10:00Z,71,65,low
2025-08-03T10:30Z,71,70,low
2025-08-03T11:00Z,70,65,low
2025-08-03T11:30Z,69,68,low
2025-08-03T12:00Z,66,66,low
2025-08-03T12:30Z,64,65,low
2025-08-03T13:00Z,62,65,low
2025-08-03T13:30Z,62,62,low
2025-08-03T14:00Z,63,62,low
2025-08-03T14:30Z,64,62,low
2025-08-03T15:00Z,62,62,low
2025-08-03T15:30Z,65,57,low
2025-08-03T16:00Z,73,66,low
2025-08-03T16:30Z,90,70,low
2025-08-03T17:00Z,90,82,low
2025-08-03T17:30Z,106,102,moderate
2025-08-03T18:00Z,121,101,moderate
2025-08-03T18:30Z,132,112,moderate
2025-08-03T19:00Z,148,141,moderate
2025-08-03T19:30Z,157,143,moderate
2025-08-03T20:00Z,165,161,moderate
2025-08-03T20:30Z,168,147,moderate
2025-08-03T21:00Z,165,160,moderate
2025-08-03T21:30Z,160,154,moderate
2025-08-03T22:00Z,155,168,moderate
2025-08-03T22:30Z,151,151,moderate
2025-08-03T23:00Z,141,152,moderate
2025-08-03T23:30Z,130,157,moderate
2025-08-04T00:00Z,118,144,moderate
2025-08-04T00:30Z,113,126,moderate
2025-08-04T01:00Z,107,122,moderate
2025-08-04T01:30Z,99,113,low
2025-08-04T02:00Z,97,106,low
2025-08-04T02:30Z,93,92,low
2025-08-04T03:00Z,91,93,low
2025-08-04T03:30Z,89,79,low
2025-08-04T04:00Z,101,75,moderate
2025-08-04T04:30Z,106,79,moderate
2025-08-04T05:00Z,114,80,moderate
2025-08-04T05:30Z,117,84,moderate
2025-08-04T06:00Z,106,91,moderate
2025-08-04T06:30Z,98,96,low
2025-08-04T07:00Z,104,88,moderate
2025-08-04T07:30Z,92,80,low
2025-08-04T08:00Z,84,93,low
2025-08-04T08:30Z,77,74,low
2025-08-04T09:00Z,77,73,low
2025-08-04T09:30Z,79,80,low
2025-08-04T10:00Z,85,66,low
2025-08-04T10:30Z,85,64,low
2025-08-04T11:00Z,74,75,low
2025-08-04T11:30Z,68,91,low
2025-08-04T12:00Z,62,76,low
2025-08-04T12:30Z,53,69,low
2025-08-04T13:00Z,49,56,low
2025-08-04T13:30Z,48,46,low
2025-08-04T14:00Z,46,42,low
2025-08-04T14:30Z,45,42,low
2025-08-04T15:00Z,47,41,low
2025-08-04T15:30Z,44,43,low
2025-08-04T16:00Z,47,41,low
2025-08-04T16:30Z,50,42,low
2025-08-04T17:00Z,48,48,low
2025-08-04T17:30Z,56,47,low
2025-08-04T18:00Z,57,49,low
2025-08-04T18:30Z,60,50,low
2025-08-04T19:00Z,68,50,low
2025-08-04T19:30Z,75,52,low
2025-08-04T20:00Z,78,63,low
2025-08-04T20:30Z,85,69,low
2025-08-04T21:00Z,88,72,low
2025-08-04T21:30Z,82,80,low
2025-08-04T22:00Z,84,82,low
2025-08-04T22:30Z,81,78,low
2025-08-04T23:00Z,81,77,low
2025-08-04T23:30Z,77,74,low
2025-08-05T00:00Z,70,73,low
2025-08-05T00:30Z,67,71,low
2025-08-05T01:00Z,70,67,low
2025-08-05T01:30Z,72,64,low
2025-08-05T02:00Z,74,65,low
2025-08-05T02:30Z,69,68,low
2025-08-05T03:00Z,66,73,low
2025-08-05T03:30Z,65,68,low
2025-08-05T04:00Z,59,65,low
2025-08-05T04:30Z,61,64,low
2025-08-05T05:00Z,68,60,low
2025-08-05T05:30Z,66,57,low
2025-08-05T06:00Z,58,63,low
2025-08-05T06:30Z,59,61,low
2025-08-05T07:00Z,60,52,low
2025-08-05T07:30Z,59,49,low
2025-08-05T08:00Z,59,56,low
2025-08-05T08:30Z,56,50,low
2025-08-05T09:00Z,62,57,low
2025-08-05T09:30Z,60,53,low
2025-08-05T10:00Z,59,52,low
2025-08-05T10:30Z,58,52,low
2025-08-05T11:00Z,56,48,low
2025-08-05T11:30Z,55,47,low
2025-08-05T12:00Z,59,56,low
2025-08-05T12:30Z,55,52,low
2025-08-05T13:00Z,56,57,low
2025-08-05T13:30Z,55,57,low
2025-08-05T14:00Z,65,55,low
2025-08-05T14:30Z,64,54,low
2025-08-05T15:00Z,65,58,low
2025-08-05T15:30Z,74,57,low
2025-08-05T16:00Z,66,54,low
2025-08-05T16:30Z,69,68,low
2025-08-05T17:00Z,79,70,low
2025-08-05T17:30Z,90,76,low
2025-08-05T18:00Z,85,77,low
2025-08-05T18:30Z,91,90,low
2025-08-05T19:00Z,95,93,low
2025-08-05T19:30Z,98,97,low
2025-08-05T20:00Z,100,96,moderate
2025-08-05T20:30Z,104,99,moderate
2025-08-05T21:00Z,108,97,moderate
2025-08-05T21:30Z,97,96,low
2025-08-05T22:00Z,102,94,moderate
2025-08-05T22:30Z,90,90,low
2025-08-05T23:00Z,75,94,low
2025-08-05T23:30Z,71,90,low
2025-08-06T00:00Z,76,92,low
2025-08-06T00:30Z,73,70,low
2025-08-06T01:00Z,77,78,low
2025-08-06T01:30Z,79,71,low
2025-08-06T02:00Z,78,75,low
2025-08-06T02:30Z,75,80,low
2025-08-06T03:00Z,80,79,low
2025-08-06T03:30Z,80,78,low
2025-08-06T04:00Z,79,78,low
2025-08-06T04:30Z,84,78,low
2025-08-06T05:00Z,88,74,low
2025-08-06T05:30Z,93,83,low
2025-08-06T06:00Z,84,91,low
2025-08-06T06:30Z,86,90,low
2025-08-06T07:00Z,92,80,low
2025-08-06T07:30Z,82,82,low
2025-08-06T08:00Z,81,91,low
2025-08-06T08:30Z,75,77,low
2025-08-06T09:00Z,67,77,low
2025-08-06T09:30Z,64,71,low
2025-08-06T10:00Z,62,66,low
2025-08-06T10:30Z,61,62,low
2025-08-06T11:00Z,59,60,low
2025-08-06T11:30Z,55,59,low
2025-08-06T12:00Z,53,60,low
2025-08-06T12:30Z,55,56,low
2025-08-06T13:00Z,57,56,low
2025-08-06T13:30Z,61,55,low
2025-08-06T14:00Z,67,59,low
2025-08-06T14:30Z,72,63,low
2025-08-06T15:00Z,77,69,low
2025-08-06T15:30Z,89,76,low
2025-08-06T16:00Z,99,80,low
2025-08-06T16:30Z,115,90,moderate
2025-08-06T17:00Z,123,96,moderate
2025-08-06T17:30Z,135,117,moderate
2025-08-06T18:00Z,150,130,moderate
2025-08-06T18:30Z,153,138,moderate
2025-08-06T19:00Z,158,154,moderate
2025-08-06T19:30Z,156,152,moderate
2025-08-06T20:00Z,160,154,moderate
2025-08-06T20:30Z,158,155,moderate
2025-08-06T21:00Z,166,155,moderate
2025-08-06T21:30Z,156,153,moderate
2025-08-06T22:00Z,130,155,moderate
2025-08-06T22:30Z,118,151,moderate
2025-08-06T23:00Z,109,127,moderate
2025-08-06T23:30Z,94,120,low
2025-08-07T00:00Z,81,123,low
2025-08-07T00:30Z,77,93,low
2025-08-07T01:00Z,81,82,low
2025-08-07T01:30Z,81,76,low
2025-08-07T02:00Z,83,77,low
2025-08-07T02:30Z,90,79,low
2025-08-07T03:00Z,89,83,low
2025-08-07T03:30Z,87,90,low
2025-08-07T04:00Z,94,90,low
2025-08-07T04:30Z,97,88,low
2025-08-07T05:00Z,92,94,low
2025-08-07T05:30Z,92,97,low
2025-08-07T06:00Z,84,93,low
2025-08-07T06:30Z,86,93,low
2025-08-07T07:00Z,76,80,low
2025-08-07T07:30Z,74,84,low
2025-08-07T08:00Z,72,82,low
2025-08-07T08:30Z,66,74,low
2025-08-07T09:00Z,62,69,low
2025-08-07T09:30Z,59,77,low
2025-08-07T10:00Z,60,61,low
2025-08-07T10:30Z,60,59,low
2025-08-07T11:00Z,61,58,low
2025-08-07T11:30Z,58,57,low
2025-08-07T12:00Z,57,55,low
2025-08-07T12:30Z,54,51,low
2025-08-07T13:00Z,53,51,low
2025-08-07T13:30Z,56,54,low
2025-08-07T14:00Z,57,50,low
2025-08-07T14:30Z,67,47,low
2025-08-07T15:00Z,70,45,low
2025-08-07T15:30Z,78,46,low
2025-08-07T16:00Z,90,67,low
2025-08-07T16:30Z,105,73,moderate
2025-08-07T17:00Z,118,96,moderate
2025-08-07T17:30Z,120,103,moderate
2025-08-07T18:00Z,125,122,moderate
2025-08-07T18:30Z,128,109,moderate
2025-08-07T19:00Z,120,130,moderate
2025-08-07T19:30Z,123,135,moderate
2025-08-07T20:00Z,123,125,moderate
2025-08-07T20:30Z,116,108,moderate
2025-08-07T21:00Z,124,125,moderate
2025-08-07T21:30Z,123,118,moderate
2025-08-07T22:00Z,110,126,moderate
2025-08-07T22:30Z,101,131,moderate
2025-08-07T23:00Z,93,114,low
2025-08-07T23:30Z,84,112,low
2025-08-08T00:00Z,79,112,low
2025-08-08T00:30Z,80,111,low
2025-08-08T01:00Z,84,81,low
2025-08-08T01:30Z,82,81,low
2025-08-08T02:00Z,80,82,low
2025-08-08T02:30Z,81,82,low
2025-08-08T03:00Z,85,77,low
2025-08-08T03:30Z,92,79,low
2025-08-08T04:00Z,105,81,moderate
2025-08-08T04:30Z,104,81,moderate
2025-08-08T05:00Z,110,98,moderate
2025-08-08T05:30Z,119,101,moderate
2025-08-08T06:00Z,109,106,moderate
2025-08-08T06:30Z,105,108,moderate
2025-08-08T07:00Z,97,108,low
2025-08-08T07:30Z,90,97,low
2025-08-08T08:00Z,85,90,low
2025-08-08T08:30Z,75,77,low
2025-08-08T09:00Z,73,74,low
2025-08-08T09:30Z,70,72,low
2025-08-08T10:00Z,64,70,low
2025-08-08T10:30Z,60,67,low
2025-08-08T11:00Z,60,58,low
2025-08-08T11:30Z,59,52,low
2025-08-08T12:00Z,50,51,low
2025-08-08T12:30Z,48,56,low
2025-08-08T13:00Z,52,47,low
2025-08-08T13:30Z,47,49,low
2025-08-08T14:00Z,49,47,low
2025-08-08T14:30Z,52,41,low
2025-08-08T15:00Z,57,46,low
2025-08-08T15:30Z,61,51,low
2025-08-08T16:00Z,77,58,low
2025-08-08T16:30Z,92,66,low
2025-08-08T17:00Z,109,76,moderate
2025-08-08T17:30Z,119,90,moderate
2025-08-08T18:00Z,127,110,moderate
2025-08-08T18:30Z,131,119,moderate
2025-08-08T19:00Z,133,130,moderate
2025-08-08T19:30Z,133,128,moderate
2025-08-08T20:00Z,139,134,moderate
2025-08-08T20:30Z,140,138,moderate
2025-08-08T21:00Z,138,138,moderate
2025-08-08T21:30Z,129,138,moderate
2025-08-08T22:00Z,109,134,moderate
2025-08-08T22:30Z,101,132,moderate
2025-08-08T23:00Z,100,131,moderate
2025-08-08T23:30Z,98,128,low
2025-08-09T00:00Z,97,126,low
2025-08-09T00:30Z,95,121,low
2025-08-09T01:00Z,100,117,moderate
2025-08-09T01:30Z,99,112,low
2025-08-09T02:00Z,95,110,low
2025-08-09T02:30Z,92,106,low
2025-08-09T03:00Z,96,101,low
2025-08-09T03:30Z,97,95,low
2025-08-09T04:00Z,99,92,low
2025-08-09T04:30Z,98,91,low
2025-08-09T05:00Z,96,90,low
2025-08-09T05:30Z,92,91,low
2025-08-09T06:00Z,89,88,low
2025-08-09T06:30Z,83,84,low
2025-08-09T07:00Z,65,78,low
2025-08-09T07:30Z,63,73,low
2025-08-09T08:00Z,65,65,low
2025-08-09T08:30Z,54,62,low
2025-08-09T09:00Z,61,56,low
2025-08-09T09:30Z,58,51,low
2025-08-09T10:00Z,58,47,low
2025-08-09T10:30Z,57,45,low
2025-08-09T11:00Z,52,42,low
2025-08-09T11:30Z,50,41,low
2025-08-09T12:00Z,45,41,low
2025-08-09T12:30Z,44,39,low
2025-08-09T13:00Z,43,41,low
2025-08-09T13:30Z,43,41,low
2025-08-09T14:00Z,45,42,low
2025-08-09T14:30Z,45,47,low
2025-08-09T15:00Z,52,47,low
2025-08-09T15:30Z,63,52,low
2025-08-09T16:00Z,72,55,low
2025-08-09T16:30Z,83,65,low
2025-08-09T17:00Z,79,70,low
2025-08-09T17:30Z,92,75,low
2025-08-09T18:00Z,98,81,low
2025-08-09T18:30Z,109,85,moderate
2025-08-09T19:00Z,109,88,moderate
2025-08-09T19:30Z,114,92,moderate
2025-08-09T20:00Z,123,97,moderate
2025-08-09T20:30Z,119,100,moderate
2025-08-09T21:00Z,112,102,moderate
2025-08-09T21:30Z,106,106,moderate
2025-08-09T22:00Z,85,110,low
2025-08-09T22:30Z,92,110,low
2025-08-09T23:00Z,97,109,low
2025-08-09T23:30Z,98,108,low
2025-08-10T00:00Z,99,105,low
2025-08-10T00:30Z,104,104,moderate
2025-08-10T01:00Z,107,102,moderate
2025-08-10T01:30Z,106,100,moderate
2025-08-10T02:00Z,111,104,moderate
2025-08-10T02:30Z,118,103,moderate
2025-08-10T03:00Z,120,100,moderate
2025-08-10T03:30Z,118,98,moderate
2025-08-10T04:00Z,111,102,moderate
2025-08-10T04:30Z,112,108,moderate
2025-08-10T05:00Z,122,113,moderate
2025-08-10T05:30Z,125,116,moderate
2025-08-10T06:00Z,127,124,moderate
2025-08-10T06:30Z,120,114,moderate
2025-08-10T07:00Z,123,113,moderate
2025-08-10T07:30Z,116,99,moderate
2025-08-10T08:00Z,107,79,moderate
2025-08-10T08:30Z,99,72,low
2025-08-10T09:00Z,88,61,low
2025-08-10T09:30Z,80,56,low
2025-08-10T10:00Z,80,52,low
2025-08-10T10:30Z,79,52,low
2025-08-10T11:00Z,76,48,low
2025-08-10T11:30Z,73,45,low
2025-08-10T12:00Z,74,45,low
2025-08-10T12:30Z,72,45,low
2025-08-10T13:00Z,67,45,low
2025-08-10T13:30Z,65,45,low
2025-08-10T14:00Z,71,49,low
2025-08-10T14:30Z,71,50,low
2025-08-10T15:00Z,64,54,low
2025-08-10T15:30Z,77,57,low
2025-08-10T16:00Z,94,63,low
2025-08-10T16:30Z,107,70,moderate
2025-08-10T17:00Z,117,85,moderate
2025-08-10T17:30Z,124,103,moderate
2025-08-10T18:00Z,134,115,moderate
2025-08-10T18:30Z,142,121,moderate
2025-08-10T19:00Z,148,129,moderate
2025-08-10T19:30Z,150,135,moderate
2025-08-10T20:00Z,150,139,moderate
2025-08-10T20:30Z,146,144,moderate
2025-08-10T21:00Z,147,145,moderate
2025-08-10T21:30Z,141,143,moderate
2025-08-10T22:00Z,135,137,moderate
2025-08-10T22:30Z,129,134,moderate
2025-08-10T23:00Z,129,132,moderate
2025-08-10T23:30Z,127,,moderate
2025-08-11T00:00Z,125,,moderate
2025-08-11T00:30Z,124,,moderate
2025-08-11T01:00Z,125,,moderate
2025-08-11T01:30Z,121,,moderate
2025-08-11T02:00Z,118,,moderate
2025-08-11T02:30Z,122,,moderate
2025-08-11T03:00Z,121,,moderate
2025-08-11T03:30Z,126,,moderate
2025-08-11T04:00Z,132,,moderate
2025-08-11T04:30Z,137,,moderate
2025-08-11T05:00Z,142,,moderate
2025-08-11T05:30Z,152,,moderate
2025-08-11T06:00Z,148,,moderate
2025-08-11T06:30Z,147,,moderate
2025-08-11T07:00Z,150,,moderate
2025-08-11T07:30Z,146,,moderate
2025-08-11T08:00Z,140,139,moderate
2025-08-11T08:30Z,131,142,moderate
2025-08-11T09:00Z,125,131,moderate
2025-08-11T09:30Z,122,132,moderate
2025-08-11T10:00Z,119,123,moderate
2025-08-11T10:30Z,118,121,moderate
2025-08-11T11:00Z,116,117,moderate
2025-08-11T11:30Z,116,118,moderate
2025-08-11T12:00Z,121,120,moderate
2025-08-11T12:30Z,124,121,moderate
2025-08-11T13:00Z,129,125,moderate
2025-08-11T13:30Z,138,126,moderate
2025-08-11T14:00Z,150,137,moderate
2025-08-11T14:30Z,160,149,moderate
2025-08-11T15:00Z,175,159,moderate
2025-08-11T15:30Z,189,172,high
2025-08-11T16:00Z,195,183,high
2025-08-11T16:30Z,200,199,high
2025-08-11T17:00Z,203,208,high
2025-08-11T17:30Z,207,209,high
2025-08-11T18:00Z,210,213,high
2025-08-11T18:30Z,209,217,high
2025-08-11T19:00Z,215,216,high
2025-08-11T19:30Z,214,215,high
2025-08-11T20:00Z,217,220,high
2025-08-11T20:30Z,206,222,high
2025-08-11T21:00Z,211,223,high
2025-08-11T21:30Z,199,208,high
2025-08-11T22:00Z,173,203,moderate
2025-08-11T22:30Z,166,203,moderate
2025-08-11T23:00Z,166,178,moderate
2025-08-11T23:30Z,167,179,moderate
2025-08-12T00:00Z,168,170,moderate
2025-08-12T00:30Z,170,170,moderate
2025-08-12T01:00Z,161,171,moderate
2025-08-12T01:30Z,157,167,moderate
2025-08-12T02:00Z,160,159,moderate
2025-08-12T02:30Z,162,156,moderate
2025-08-12T03:00Z,174,165,moderate
2025-08-12T03:30Z,183,166,high
2025-08-12T04:00Z,187,174,high
2025-08-12T04:30Z,188,176,high
2025-08-12T05:00Z,186,194,high
2025-08-12T05:30Z,191,194,high
2025-08-12T06:00Z,184,188,high
2025-08-12T06:30Z,185,198,high
2025-08-12T07:00Z,187,190,high
2025-08-12T07:30Z,182,185,high
2025-08-12T08:00Z,177,185,moderate
2025-08-12T08:30Z,169,181,moderate
2025-08-12T09:00Z,158,177,moderate
2025-08-12T09:30Z,151,176,moderate
2025-08-12T10:00Z,146,160,moderate
2025-08-12T10:30Z,137,150,moderate
2025-08-12T11:00Z,129,146,moderate
2025-08-12T11:30Z,124,137,moderate
2025-08-12T12:00Z,123,129,moderate
2025-08-12T12:30Z,123,125,moderate
2025-08-12T13:00Z,125,121,moderate
2025-08-12T13:30Z,128,124,moderate
2025-08-12T14:00Z,130,126,moderate
2025-08-12T14:30Z,141,128,moderate
2025-08-12T15:00Z,151,131,moderate
2025-08-12T15:30Z,163,144,moderate
2025-08-12T16:00Z,169,160,moderate
2025-08-12T16:30Z,180,166,high
2025-08-12T17:00Z,187,181,high
2025-08-12T17:30Z,200,195,high
2025-08-12T18:00Z,215,203,high
2025-08-12T18:30Z,221,218,high
2025-08-12T19:00Z,228,226,high
2025-08-12T19:30Z,233,232,high
2025-08-12T20:00Z,239,241,high
2025-08-12T20:30Z,240,239,high
2025-08-12T21:00Z,242,245,high
2025-08-12T21:30Z,238,243,high
2025-08-12T22:00Z,228,241,high
2025-08-12T22:30Z,223,233,high
2025-08-12T23:00Z,212,223,high
2025-08-12T23:30Z,211,221,high
2025-08-13T00:00Z,214,209,high
2025-08-13T00:30Z,216,217,high
2025-08-13T01:00Z,219,215,high
2025-08-13T01:30Z,219,222,high
2025-08-13T02:00Z,216,222,high
2025-08-13T02:30Z,216,225,high
2025-08-13T03:00Z,218,220,high
2025-08-13T03:30Z,220,220,high
2025-08-13T04:00Z,219,222,high
2025-08-13T04:30Z,220,224,high
2025-08-13T05:00Z,222,224,high
2025-08-13T05:30Z,221,226,high
2025-08-13T06:00Z,215,232,high
2025-08-13T06:30Z,212,239,high
2025-08-13T07:00Z,212,224,high
2025-08-13T07:30Z,208,217,high
2025-08-13T08:00Z,198,219,high
2025-08-13T08:30Z,188,213,high
2025-08-13T09:00Z,176,200,moderate
2025-08-13T09:30Z,172,189,moderate
2025-08-13T10:00Z,169,178,moderate
2025-08-13T10:30Z,161,171,moderate
2025-08-13T11:00Z,159,159,moderate
2025-08-13T11:30Z,154,156,moderate
2025-08-13T12:00Z,149,157,moderate
2025-08-13T12:30Z,144,152,moderate
2025-08-13T13:00Z,145,142,moderate
2025-08-13T13:30Z,144,141,moderate
2025-08-13T14:00Z,150,142,moderate
2025-08-13T14:30Z,151,134,moderate
2025-08-13T15:00Z,153,143,moderate
2025-08-13T15:30Z,165,155,moderate
2025-08-13T16:00Z,176,159,moderate
2025-08-13T16:30Z,183,174,high
2025-08-13T17:00Z,190,189,high
2025-08-13T17:30Z,194,192,high
2025-08-13T18:00Z,197,199,high
2025-08-13T18:30Z,196,199,high
2025-08-13T19:00Z,194,203,high
2025-08-13T19:30Z,197,189,high
2025-08-13T20:00Z,203,190,high
2025-08-13T20:30Z,205,197,high
2025-08-13T21:00Z,203,203,high
2025-08-13T21:30Z,196,201,high
2025-08-13T22:00Z,172,202,moderate
2025-08-13T22:30Z,160,202,moderate
2025-08-13T23:00Z,161,177,moderate
2025-08-13T23:30Z,159,165,moderate
2025-08-14T00:00Z,163,158,moderate
2025-08-14T00:30Z,165,156,moderate
2025-08-14T01:00Z,157,161,moderate
2025-08-14T01:30Z,159,161,moderate
2025-08-14T02:00Z,161,158,moderate
2025-08-14T02:30Z,159,159,moderate
2025-08-14T03:00Z,151,160,moderate
2025-08-14T03:30Z,155,160,moderate
2025-08-14T04:00Z,166,154,moderate
2025-08-14T04:30Z,170,157,moderate
2025-08-14T05:00Z,177,170,moderate
2025-08-14T05:30Z,186,186,high
2025-08-14T06:00Z,185,185,high
2025-08-14T06:30Z,186,186,high
2025-08-14T07:00Z,186,192,high
2025-08-14T07:30Z,181,197,high
2025-08-14T08:00Z,173,191,moderate
2025-08-14T08:30Z,167,184,moderate
2025-08-14T09:00Z,160,170,moderate
2025-08-14T09:30Z,153,164,moderate
2025-08-14T10:00Z,152,153,moderate
2025-08-14T10:30Z,149,156,moderate
2025-08-14T11:00Z,148,147,moderate
2025-08-14T11:30Z,145,152,moderate
2025-08-14T12:00Z,140,154,moderate
2025-08-14T12:30Z,139,149,moderate
2025-08-14T13:00Z,138,143,moderate
2025-08-14T13:30Z,137,136,moderate
2025-08-14T14:00Z,137,139,moderate
2025-08-14T14:30Z,138,134,moderate
2025-08-14T15:00Z,142,135,moderate
2025-08-14T15:30Z,154,144,moderate
2025-08-14T16:00Z,163,156,moderate
2025-08-14T16:30Z,170,160,moderate
2025-08-14T17:00Z,174,170,moderate
2025-08-14T17:30Z,181,178,high
2025-08-14T18:00Z,189,182,high
