Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2025-12-01T00:00Z,69,86,low
2025-12-01T00:30Z,73,84,low
2025-12-01T01:00Z,70,82,low
2025-12-01T01:30Z,65,80,low
2025-12-01T02:00Z,63,79,low
2025-12-01T02:30Z,60,77,low
2025-12-01T03:00Z,57,76,low
2025-12-01T03:30Z,55,77,low
2025-12-01T04:00Z,55,77,low
2025-12-01T04:30Z,56,78,low
2025-12-01T05:00Z,60,78,low
2025-12-01T05:30Z,70,78,low
2025-12-01T06:00Z,88,81,low
2025-12-01T06:30Z,112,86,moderate
2025-12-01T07:00Z,130,92,moderate
2025-12-01T07:30Z,141,106,moderate
2025-12-01T08:00Z,136,116,moderate
2025-12-01T08:30Z,138,115,moderate
2025-12-01T09:00Z,143,115,moderate
2025-12-01T09:30Z,143,114,moderate
2025-12-01T10:00Z,141,113,moderate
2025-12-01T10:30Z,143,115,moderate
2025-12-01T11:00Z,142,117,moderate
2025-12-01T11:30Z,143,117,moderate
2025-12-01T12:00Z,147,117,moderate
2025-12-01T12:30Z,146,119,moderate
2025-12-01T13:00Z,141,119,moderate
2025-12-01T13:30Z,143,126,moderate
2025-12-01T14:00Z,140,129,moderate
2025-12-01T14:30Z,137,133,moderate
2025-12-01T15:00Z,131,136,moderate
2025-12-01T15:30Z,132,140,moderate
2025-12-01T16:00Z,135,140,moderate
2025-12-01T16:30Z,138,151,moderate
2025-12-01T17:00Z,139,142,moderate
2025-12-01T17:30Z,137,144,moderate
2025-12-01T18:00Z,139,144,moderate
2025-12-01T18:30Z,135,143,moderate
2025-12-01T19:00Z,129,142,moderate
2025-12-01T19:30Z,128,139,moderate
2025-12-01T20:00Z,118,129,moderate
2025-12-01T20:30Z,108,128,moderate
2025-12-01T21:00Z,91,122,low
2025-12-01T21:30Z,74,113,low
2025-12-01T22:00Z,66,91,low
2025-12-01T22:30Z,62,73,low
2025-12-01T23:00Z,57,58,low
2025-12-01T23:30Z,54,54,low
2025-12-02T00:00Z,52,54,low
2025-12-02T00:30Z,53,54,low
2025-12-02T01:00Z,51,50,low
2025-12-02T01:30Z,51,54,low
2025-12-02T02:00Z,54,54,low
2025-12-02T02:30Z,54,50,low
2025-12-02T03:00Z,53,53,low
2025-12-02T03:30Z,54,53,low
2025-12-02T04:00Z,52,52,low
2025-12-02T04:30Z,52,56,low
2025-12-02T05:00Z,55,52,low
2025-12-02T05:30Z,63,52,low
2025-12-02T06:00Z,88,56,low
2025-12-02T06:30Z,111,72,moderate
2025-12-02T07:00Z,135,89,moderate
2025-12-02T07:30Z,146,140,moderate
2025-12-02T08:00Z,149,146,moderate
2025-12-02T08:30Z,152,141,moderate
2025-12-02T09:00Z,144,149,moderate
2025-12-02T09:30Z,139,150,moderate
2025-12-02T10:00Z,138,140,moderate
2025-12-02T10:30Z,134,139,moderate
2025-12-02T11:00Z,132,139,moderate
2025-12-02T11:30Z,133,139,moderate
2025-12-02T12:00Z,138,134,moderate
2025-12-02T12:30Z,140,137,moderate
2025-12-02T13:00Z,143,146,moderate
2025-12-02T13:30Z,151,148,moderate
2025-12-02T14:00Z,163,159,moderate
2025-12-02T14:30Z,171,165,moderate
2025-12-02T15:00Z,177,176,moderate
2025-12-02T15:30Z,179,181,moderate
2025-12-02T16:00Z,182,187,high
2025-12-02T16:30Z,184,184,high
2025-12-02T17:00Z,192,188,high
2025-12-02T17:30Z,192,189,high
2025-12-02T18:00Z,196,195,high
2025-12-02T18:30Z,197,189,high
2025-12-02T19:00Z,189,197,high
2025-12-02T19:30Z,188,196,high
2025-12-02T20:00Z,184,191,high
2025-12-02T20:30Z,185,190,high
2025-12-02T21:00Z,186,184,high
2025-12-02T21:30Z,182,179,high
2025-12-02T22:00Z,175,182,moderate
2025-12-02T22:30Z,167,162,moderate
2025-12-02T23:00Z,149,162,moderate
2025-12-02T23:30Z,144,161,moderate
2025-12-03T00:00Z,144,141,moderate
2025-12-03T00:30Z,149,171,moderate
2025-12-03T01:00Z,151,150,moderate
2025-12-03T01:30Z,152,154,moderate
2025-12-03T02:00Z,150,155,moderate
2025-12-03T02:30Z,150,158,moderate
2025-12-03T03:00Z,150,156,moderate
2025-12-03T03:30Z,151,151,moderate
2025-12-03T04:00Z,154,149,moderate
2025-12-03T04:30Z,157,163,moderate
2025-12-03T05:00Z,173,155,moderate
2025-12-03T05:30Z,181,178,high
2025-12-03T06:00Z,198,194,high
2025-12-03T06:30Z,212,203,high
2025-12-03T07:00Z,214,225,high
