Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2026-02-01T00:00Z,113,132,moderate
2026-02-01T00:30Z,117,135,moderate
2026-02-01T01:00Z,118,140,moderate
2026-02-01T01:30Z,116,140,moderate
2026-02-01T02:00Z,117,140,moderate
2026-02-01T02:30Z,113,141,moderate
2026-02-01T03:00Z,107,141,moderate
2026-02-01T03:30Z,101,142,moderate
2026-02-01T04:00Z,93,108,moderate
2026-02-01T04:30Z,92,102,moderate
2026-02-01T05:00Z,89,92,low
2026-02-01T05:30Z,85,96,low
2026-02-01T06:00Z,89,92,low
2026-02-01T06:30Z,98,91,moderate
2026-02-01T07:00Z,113,96,moderate
2026-02-01T07:30Z,119,108,moderate
2026-02-01T08:00Z,128,118,moderate
2026-02-01T08:30Z,145,122,moderate
2026-02-01T09:00Z,156,139,moderate
2026-02-01T09:30Z,164,148,moderate
2026-02-01T10:00Z,167,167,moderate
2026-02-01T10:30Z,170,168,high
2026-02-01T11:00Z,173,178,high
2026-02-01T11:30Z,179,177,high
2026-02-01T12:00Z,182,184,high
2026-02-01T12:30Z,184,189,high
2026-02-01T13:00Z,190,194,high
2026-02-01T13:30Z,193,194,high
2026-02-01T14:00Z,197,200,high
2026-02-01T14:30Z,202,202,high
2026-02-01T15:00Z,202,207,high
2026-02-01T15:30Z,203,215,high
2026-02-01T16:00Z,210,216,high
2026-02-01T16:30Z,214,219,high
2026-02-01T17:00Z,216,227,high
2026-02-01T17:30Z,216,231,high
2026-02-01T18:00Z,214,229,high
2026-02-01T18:30Z,211,227,high
2026-02-01T19:00Z,212,228,high
2026-02-01T19:30Z,215,223,high
2026-02-01T20:00Z,213,222,high
2026-02-01T20:30Z,209,218,high
2026-02-01T21:00Z,204,212,high
2026-02-01T21:30Z,197,206,high
2026-02-01T22:00Z,186,208,high
2026-02-01T22:30Z,177,197,high
2026-02-01T23:00Z,157,186,moderate
2026-02-01T23:30Z,145,173,moderate
2026-02-02T00:00Z,144,168,moderate
2026-02-02T00:30Z,146,158,moderate
2026-02-02T01:00Z,143,146,moderate
2026-02-02T01:30Z,141,150,moderate
2026-02-02T02:00Z,144,150,moderate
2026-02-02T02:30Z,140,145,moderate
2026-02-02T03:00Z,137,146,moderate
2026-02-02T03:30Z,131,136,moderate
2026-02-02T04:00Z,129,140,moderate
2026-02-02T04:30Z,128,125,moderate
2026-02-02T05:00Z,136,122,moderate
2026-02-02T05:30Z,139,129,moderate
2026-02-02T06:00Z,156,152,moderate
2026-02-02T06:30Z,168,163,moderate
2026-02-02T07:00Z,175,163,high
2026-02-02T07:30Z,174,173,high
2026-02-02T08:00Z,168,176,moderate
2026-02-02T08:30Z,168,174,moderate
2026-02-02T09:00Z,165,173,moderate
2026-02-02T09:30Z,164,165,moderate
2026-02-02T10:00Z,162,168,moderate
2026-02-02T10:30Z,157,163,moderate
2026-02-02T11:00Z,148,164,moderate
2026-02-02T11:30Z,143,157,moderate
2026-02-02T12:00Z,138,147,moderate
2026-02-02T12:30Z,134,137,moderate
2026-02-02T13:00Z,133,138,moderate
2026-02-02T13:30Z,129,133,moderate
2026-02-02T14:00Z,129,132,moderate
2026-02-02T14:30Z,125,125,moderate
2026-02-02T15:00Z,120,119,moderate
2026-02-02T15:30Z,123,118,moderate
2026-02-02T16:00Z,125,122,moderate
2026-02-02T16:30Z,126,122,moderate
2026-02-02T17:00Z,128,123,moderate
2026-02-02T17:30Z,127,123,moderate
2026-02-02T18:00Z,124,123,moderate
2026-02-02T18:30Z,120,121,moderate
2026-02-02T19:00Z,115,118,moderate
2026-02-02T19:30Z,115,113,moderate
2026-02-02T20:00Z,112,109,moderate
2026-02-02T20:30Z,104,105,moderate
2026-02-02T21:00Z,100,85,moderate
2026-02-02T21:30Z,92,77,moderate
2026-02-02T22:00Z,85,73,low
2026-02-02T22:30Z,80,67,low
2026-02-02T23:00Z,79,65,low
2026-02-02T23:30Z,75,64,low
2026-02-03T00:00Z,69,64,low
2026-02-03T00:30Z,70,66,low
2026-02-03T01:00Z,62,66,low
2026-02-03T01:30Z,62,66,low
2026-02-03T02:00Z,60,65,low
2026-02-03T02:30Z,58,66,low
2026-02-03T03:00Z,57,66,low
2026-02-03T03:30Z,52,68,low
2026-02-03T04:00Z,55,69,low
2026-02-03T04:30Z,55,70,low
2026-02-03T05:00Z,65,70,low
2026-02-03T05:30Z,72,72,low
2026-02-03T06:00Z,80,74,low
2026-02-03T06:30Z,98,82,moderate
2026-02-03T07:00Z,113,91,moderate
2026-02-03T07:30Z,124,104,moderate
2026-02-03T08:00Z,122,119,moderate
2026-02-03T08:30Z,123,122,moderate
2026-02-03T09:00Z,123,129,moderate
2026-02-03T09:30Z,124,128,moderate
2026-02-03T10:00Z,128,128,moderate
2026-02-03T10:30Z,129,125,moderate
2026-02-03T11:00Z,129,128,moderate
2026-02-03T11:30Z,130,130,moderate
2026-02-03T12:00Z,133,131,moderate
2026-02-03T12:30Z,138,131,moderate
2026-02-03T13:00Z,139,135,moderate
2026-02-03T13:30Z,143,150,moderate
2026-02-03T14:00Z,148,139,moderate
2026-02-03T14:30Z,151,133,moderate
2026-02-03T15:00Z,152,139,moderate
2026-02-03T15:30Z,155,146,moderate
2026-02-03T16:00Z,157,153,moderate
2026-02-03T16:30Z,162,155,moderate
2026-02-03T17:00Z,166,160,moderate
2026-02-03T17:30Z,169,165,moderate
2026-02-03T18:00Z,176,166,high
2026-02-03T18:30Z,173,167,high
2026-02-03T19:00Z,171,173,high
2026-02-03T19:30Z,168,169,moderate
2026-02-03T20:00Z,166,170,moderate
2026-02-03T20:30Z,162,164,moderate
2026-02-03T21:00Z,154,159,moderate
2026-02-03T21:30Z,143,164,moderate
2026-02-03T22:00Z,140,156,moderate
2026-02-03T22:30Z,130,132,moderate
2026-02-03T23:00Z,120,108,moderate
2026-02-03T23:30Z,117,119,moderate
2026-02-04T00:00Z,119,109,moderate
2026-02-04T00:30Z,122,109,moderate
2026-02-04T01:00Z,119,120,moderate
2026-02-04T01:30Z,118,120,moderate
2026-02-04T02:00Z,115,116,moderate
2026-02-04T02:30Z,111,119,moderate
2026-02-04T03:00Z,110,123,moderate
2026-02-04T03:30Z,110,115,moderate
2026-02-04T04:00Z,113,112,moderate
2026-02-04T04:30Z,115,119,moderate
2026-02-04T05:00Z,131,114,moderate
2026-02-04T05:30Z,154,126,moderate
2026-02-04T06:00Z,183,149,high
2026-02-04T06:30Z,201,179,high
2026-02-04T07:00Z,206,208,high
2026-02-04T07:30Z,213,201,high
2026-02-04T08:00Z,205,222,high
2026-02-04T08:30Z,206,216,high
2026-02-04T09:00Z,206,213,high
2026-02-04T09:30Z,205,210,high
