Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2026-01-01T00:00Z,103,105,moderate
2026-01-01T00:30Z,107,105,moderate
2026-01-01T01:00Z,104,105,moderate
2026-01-01T01:30Z,99,106,moderate
2026-01-01T02:00Z,96,107,moderate
2026-01-01T02:30Z,93,107,moderate
2026-01-01T03:00Z,86,96,low
2026-01-01T03:30Z,81,97,low
2026-01-01T04:00Z,79,86,low
2026-01-01T04:30Z,76,86,low
2026-01-01T05:00Z,77,81,low
2026-01-01T05:30Z,76,82,low
2026-01-01T06:00Z,75,78,low
2026-01-01T06:30Z,76,80,low
2026-01-01T07:00Z,72,71,low
2026-01-01T07:30Z,75,73,low
2026-01-01T08:00Z,73,71,low
2026-01-01T08:30Z,79,73,low
2026-01-01T09:00Z,75,74,low
2026-01-01T09:30Z,75,73,low
2026-01-01T10:00Z,70,72,low
2026-01-01T10:30Z,67,76,low
2026-01-01T11:00Z,59,64,low
2026-01-01T11:30Z,59,70,low
2026-01-01T12:00Z,60,61,low
2026-01-01T12:30Z,63,59,low
2026-01-01T13:00Z,70,60,low
2026-01-01T13:30Z,72,61,low
2026-01-01T14:00Z,68,61,low
2026-01-01T14:30Z,71,69,low
2026-01-01T15:00Z,75,67,low
2026-01-01T15:30Z,81,72,low
2026-01-01T16:00Z,78,73,low
2026-01-01T16:30Z,83,79,low
2026-01-01T17:00Z,89,80,low
2026-01-01T17:30Z,88,82,low
2026-01-01T18:00Z,86,83,low
2026-01-01T18:30Z,81,83,low
2026-01-01T19:00Z,78,83,low
2026-01-01T19:30Z,75,85,low
2026-01-01T20:00Z,75,81,low
2026-01-01T20:30Z,74,81,low
2026-01-01T21:00Z,71,76,low
2026-01-01T21:30Z,62,78,low
2026-01-01T22:00Z,63,70,low
2026-01-01T22:30Z,58,72,low
2026-01-01T23:00Z,56,65,low
2026-01-01T23:30Z,53,66,low
2026-01-02T00:00Z,57,53,low
2026-01-02T00:30Z,61,56,low
2026-01-02T01:00Z,57,53,low
2026-01-02T01:30Z,51,58,low
2026-01-02T02:00Z,50,59,low
2026-01-02T02:30Z,50,62,low
2026-01-02T03:00Z,44,51,low
2026-01-02T03:30Z,42,52,low
2026-01-02T04:00Z,45,46,low
2026-01-02T04:30Z,49,48,low
2026-01-02T05:00Z,50,45,low
2026-01-02T05:30Z,52,48,low
2026-01-02T06:00Z,62,51,low
2026-01-02T06:30Z,73,54,low
2026-01-02T07:00Z,65,62,low
2026-01-02T07:30Z,70,65,low
2026-01-02T08:00Z,71,66,low
2026-01-02T08:30Z,76,70,low
2026-01-02T09:00Z,75,78,low
2026-01-02T09:30Z,76,79,low
2026-01-02T10:00Z,71,74,low
2026-01-02T10:30Z,67,71,low
2026-01-02T11:00Z,64,69,low
2026-01-02T11:30Z,62,71,low
2026-01-02T12:00Z,61,67,low
2026-01-02T12:30Z,62,67,low
2026-01-02T13:00Z,60,59,low
2026-01-02T13:30Z,67,62,low
2026-01-02T14:00Z,69,59,low
2026-01-02T14:30Z,79,72,low
2026-01-02T15:00Z,93,76,moderate
2026-01-02T15:30Z,109,86,moderate
2026-01-02T16:00Z,116,101,moderate
2026-01-02T16:30Z,122,115,moderate
2026-01-02T17:00Z,124,124,moderate
2026-01-02T17:30Z,123,122,moderate
2026-01-02T18:00Z,123,123,moderate
2026-01-02T18:30Z,121,122,moderate
2026-01-02T19:00Z,120,122,moderate
2026-01-02T19:30Z,118,108,moderate
2026-01-02T20:00Z,117,111,moderate
2026-01-02T20:30Z,117,107,moderate
2026-01-02T21:00Z,113,115,moderate
2026-01-02T21:30Z,105,112,moderate
2026-01-02T22:00Z,97,114,moderate
2026-01-02T22:30Z,88,114,low
2026-01-02T23:00Z,81,91,low
2026-01-02T23:30Z,79,89,low
2026-01-03T00:00Z,72,76,low
2026-01-03T00:30Z,72,77,low
2026-01-03T01:00Z,72,73,low
2026-01-03T01:30Z,70,72,low
2026-01-03T02:00Z,73,72,low
2026-01-03T02:30Z,71,71,low
2026-01-03T03:00Z,70,74,low
2026-01-03T03:30Z,65,72,low
2026-01-03T04:00Z,67,70,low
2026-01-03T04:30Z,68,69,low
2026-01-03T05:00Z,59,64,low
2026-01-03T05:30Z,64,64,low
2026-01-03T06:00Z,58,59,low
2026-01-03T06:30Z,59,62,low
2026-01-03T07:00Z,62,58,low
2026-01-03T07:30Z,69,59,low
2026-01-03T08:00Z,78,62,low
2026-01-03T08:30Z,83,58,low
2026-01-03T09:00Z,80,78,low
2026-01-03T09:30Z,80,81,low
2026-01-03T10:00Z,70,79,low
2026-01-03T10:30Z,66,81,low
2026-01-03T11:00Z,65,67,low
2026-01-03T11:30Z,60,67,low
2026-01-03T12:00Z,62,63,low
2026-01-03T12:30Z,65,60,low
2026-01-03T13:00Z,65,59,low
2026-01-03T13:30Z,70,61,low
2026-01-03T14:00Z,81,69,low
2026-01-03T14:30Z,95,73,moderate
2026-01-03T15:00Z,100,91,moderate
2026-01-03T15:30Z,111,97,moderate
2026-01-03T16:00Z,114,105,moderate
2026-01-03T16:30Z,117,122,moderate
2026-01-03T17:00Z,121,122,moderate
2026-01-03T17:30Z,121,124,moderate
2026-01-03T18:00Z,119,116,moderate
2026-01-03T18:30Z,117,113,moderate
2026-01-03T19:00Z,121,114,moderate
2026-01-03T19:30Z,121,108,moderate
2026-01-03T20:00Z,116,103,moderate
2026-01-03T20:30Z,109,108,moderate
2026-01-03T21:00Z,102,109,moderate
2026-01-03T21:30Z,95,103,moderate
2026-01-03T22:00Z,85,99,low
2026-01-03T22:30Z,77,97,low
2026-01-03T23:00Z,70,87,low
2026-01-03T23:30Z,66,88,low
2026-01-04T00:00Z,67,79,low
2026-01-04T00:30Z,73,84,low
2026-01-04T01:00Z,73,71,low
2026-01-04T01:30Z,65,74,low
2026-01-04T02:00Z,60,75,low
2026-01-04T02:30Z,58,74,low
2026-01-04T03:00Z,60,65,low
2026-01-04T03:30Z,59,65,low
2026-01-04T04:00Z,60,62,low
2026-01-04T04:30Z,60,63,low
2026-01-04T05:00Z,56,58,low
2026-01-04T05:30Z,56,60,low
2026-01-04T06:00Z,62,59,low
2026-01-04T06:30Z,76,60,low
2026-01-04T07:00Z,96,61,moderate
2026-01-04T07:30Z,105,65,moderate
2026-01-04T08:00Z,108,101,moderate
2026-01-04T08:30Z,116,105,moderate
2026-01-04T09:00Z,108,119,moderate
2026-01-04T09:30Z,108,121,moderate
2026-01-04T10:00Z,106,121,moderate
2026-01-04T10:30Z,103,122,moderate
2026-01-04T11:00Z,104,110,moderate
2026-01-04T11:30Z,102,110,moderate
2026-01-04T12:00Z,103,111,moderate
2026-01-04T12:30Z,110,113,moderate
2026-01-04T13:00Z,114,103,moderate
2026-01-04T13:30Z,124,106,moderate
2026-01-04T14:00Z,136,120,moderate
2026-01-04T14:30Z,151,128,moderate
2026-01-04T15:00Z,175,145,high
2026-01-04T15:30Z,186,164,high
2026-01-04T16:00Z,193,193,high
2026-01-04T16:30Z,199,202,high
2026-01-04T17:00Z,201,202,high
2026-01-04T17:30Z,197,203,high
2026-01-04T18:00Z,197,202,high
2026-01-04T18:30Z,195,203,high
2026-01-04T19:00Z,195,205,high
2026-01-04T19:30Z,195,205,high
2026-01-04T20:00Z,197,193,high
2026-01-04T20:30Z,193,182,high
2026-01-04T21:00Z,191,180,high
2026-01-04T21:30Z,187,167,high
2026-01-04T22:00Z,186,184,high
2026-01-04T22:30Z,180,176,high
2026-01-04T23:00Z,175,165,high
