Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2026-07-01T00:00Z,237,245,very high
2026-07-01T00:30Z,237,237,very high
2026-07-01T01:00Z,236,247,very high
2026-07-01T01:30Z,240,246,very high
2026-07-01T02:00Z,240,251,very high
2026-07-01T02:30Z,240,249,very high
2026-07-01T03:00Z,238,248,very high
2026-07-01T03:30Z,240,245,very high
2026-07-01T04:00Z,238,242,very high
2026-07-01T04:30Z,239,251,very high
2026-07-01T05:00Z,231,248,very high
2026-07-01T05:30Z,227,242,high
2026-07-01T06:00Z,219,239,high
2026-07-01T06:30Z,213,234,high
2026-07-01T07:00Z,208,230,high
2026-07-01T07:30Z,198,207,high
2026-07-01T08:00Z,192,197,high
2026-07-01T08:30Z,181,198,high
2026-07-01T09:00Z,174,192,high
2026-07-01T09:30Z,172,180,high
2026-07-01T10:00Z,169,175,moderate
2026-07-01T10:30Z,168,175,moderate
2026-07-01T11:00Z,164,168,moderate
2026-07-01T11:30Z,160,166,moderate
2026-07-01T12:00Z,154,164,moderate
2026-07-01T12:30Z,151,156,moderate
2026-07-01T13:00Z,146,152,moderate
2026-07-01T13:30Z,142,150,moderate
2026-07-01T14:00Z,139,150,moderate
2026-07-01T14:30Z,132,145,moderate
2026-07-01T15:00Z,134,135,moderate
2026-07-01T15:30Z,131,126,moderate
2026-07-01T16:00Z,143,125,moderate
2026-07-01T16:30Z,142,127,moderate
2026-07-01T17:00Z,151,129,moderate
2026-07-01T17:30Z,152,148,moderate
2026-07-01T18:00Z,158,141,moderate
2026-07-01T18:30Z,158,151,moderate
2026-07-01T19:00Z,162,154,moderate
2026-07-01T19:30Z,166,162,moderate
2026-07-01T20:00Z,168,147,moderate
2026-07-01T20:30Z,168,164,moderate
2026-07-01T21:00Z,163,162,moderate
2026-07-01T21:30Z,149,162,moderate
2026-07-01T22:00Z,116,154,moderate
2026-07-01T22:30Z,100,143,moderate
2026-07-01T23:00Z,92,133,moderate
2026-07-01T23:30Z,83,122,low
2026-07-02T00:00Z,79,114,low
2026-07-02T00:30Z,75,78,low
2026-07-02T01:00Z,75,77,low
2026-07-02T01:30Z,70,69,low
2026-07-02T02:00Z,69,73,low
2026-07-02T02:30Z,70,63,low
2026-07-02T03:00Z,78,59,low
2026-07-02T03:30Z,80,63,low
2026-07-02T04:00Z,85,60,low
2026-07-02T04:30Z,85,75,low
2026-07-02T05:00Z,86,83,low
2026-07-02T05:30Z,87,79,low
2026-07-02T06:00Z,82,73,low
2026-07-02T06:30Z,77,76,low
2026-07-02T07:00Z,67,75,low
2026-07-02T07:30Z,61,64,low
