Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2026-06-01T00:00Z,188,183,high
2026-06-01T00:30Z,188,195,high
2026-06-01T01:00Z,186,192,high
2026-06-01T01:30Z,183,194,high
2026-06-01T02:00Z,185,187,high
2026-06-01T02:30Z,183,179,high
2026-06-01T03:00Z,178,177,high
2026-06-01T03:30Z,175,181,high
2026-06-01T04:00Z,175,190,high
2026-06-01T04:30Z,175,185,high
2026-06-01T05:00Z,177,186,high
2026-06-01T05:30Z,174,191,high
2026-06-01T06:00Z,164,185,moderate
2026-06-01T06:30Z,161,178,moderate
2026-06-01T07:00Z,148,160,moderate
2026-06-01T07:30Z,143,154,moderate
2026-06-01T08:00Z,138,148,moderate
2026-06-01T08:30Z,134,137,moderate
2026-06-01T09:00Z,123,135,moderate
2026-06-01T09:30Z,120,131,moderate
2026-06-01T10:00Z,116,125,moderate
2026-06-01T10:30Z,113,115,moderate
2026-06-01T11:00Z,108,109,moderate
2026-06-01T11:30Z,104,107,moderate
2026-06-01T12:00Z,101,105,moderate
2026-06-01T12:30Z,98,99,moderate
2026-06-01T13:00Z,101,96,moderate
2026-06-01T13:30Z,106,94,moderate
2026-06-01T14:00Z,109,100,moderate
2026-06-01T14:30Z,117,103,moderate
2026-06-01T15:00Z,129,112,moderate
2026-06-01T15:30Z,140,116,moderate
2026-06-01T16:00Z,156,132,moderate
2026-06-01T16:30Z,163,147,moderate
2026-06-01T17:00Z,174,160,high
2026-06-01T17:30Z,177,169,high
2026-06-01T18:00Z,186,182,high
2026-06-01T18:30Z,190,190,high
2026-06-01T19:00Z,189,195,high
2026-06-01T19:30Z,192,204,high
2026-06-01T20:00Z,186,200,high
2026-06-01T20:30Z,186,202,high
2026-06-01T21:00Z,181,197,high
2026-06-01T21:30Z,179,192,high
2026-06-01T22:00Z,178,184,high
2026-06-01T22:30Z,168,179,moderate
2026-06-01T23:00Z,163,175,moderate
2026-06-01T23:30Z,170,169,high
2026-06-02T00:00Z,169,175,moderate
2026-06-02T00:30Z,171,171,high
2026-06-02T01:00Z,175,170,high
2026-06-02T01:30Z,179,167,high
2026-06-02T02:00Z,184,173,high
2026-06-02T02:30Z,192,179,high
2026-06-02T03:00Z,198,185,high
2026-06-02T03:30Z,201,195,high
2026-06-02T04:00Z,202,204,high
2026-06-02T04:30Z,202,210,high
2026-06-02T05:00Z,197,217,high
2026-06-02T05:30Z,198,215,high
2026-06-02T06:00Z,194,218,high
2026-06-02T06:30Z,193,206,high
2026-06-02T07:00Z,195,198,high
2026-06-02T07:30Z,191,189,high
2026-06-02T08:00Z,187,190,high
2026-06-02T08:30Z,179,187,high
2026-06-02T09:00Z,167,187,moderate
2026-06-02T09:30Z,158,180,moderate
2026-06-02T10:00Z,148,167,moderate
2026-06-02T10:30Z,143,155,moderate
2026-06-02T11:00Z,140,175,moderate
2026-06-02T11:30Z,135,144,moderate
2026-06-02T12:00Z,131,137,moderate
2026-06-02T12:30Z,130,132,moderate
2026-06-02T13:00Z,133,135,moderate
2026-06-02T13:30Z,134,129,moderate
2026-06-02T14:00Z,139,129,moderate
2026-06-02T14:30Z,145,136,moderate
2026-06-02T15:00Z,150,141,moderate
2026-06-02T15:30Z,159,147,moderate
2026-06-02T16:00Z,165,156,moderate
2026-06-02T16:30Z,166,161,moderate
2026-06-02T17:00Z,163,169,moderate
2026-06-02T17:30Z,173,170,high
2026-06-02T18:00Z,183,173,high
2026-06-02T18:30Z,189,184,high
2026-06-02T19:00Z,191,193,high
2026-06-02T19:30Z,193,199,high
2026-06-02T20:00Z,191,199,high
2026-06-02T20:30Z,190,199,high
2026-06-02T21:00Z,185,196,high
2026-06-02T21:30Z,179,193,high
2026-06-02T22:00Z,153,186,moderate
2026-06-02T22:30Z,140,171,moderate
2026-06-02T23:00Z,128,151,moderate
2026-06-02T23:30Z,114,136,moderate
2026-06-03T00:00Z,112,120,moderate
