Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2026-03-01T00:00Z,90,107,moderate
2026-03-01T00:30Z,83,96,low
2026-03-01T01:00Z,76,94,low
2026-03-01T01:30Z,67,83,low
2026-03-01T02:00Z,66,76,low
2026-03-01T02:30Z,58,69,low
2026-03-01T03:00Z,56,63,low
2026-03-01T03:30Z,53,58,low
2026-03-01T04:00Z,50,53,low
2026-03-01T04:30Z,49,58,low
2026-03-01T05:00Z,50,50,low
2026-03-01T05:30Z,48,49,low
2026-03-01T06:00Z,47,50,low
2026-03-01T06:30Z,45,49,low
2026-03-01T07:00Z,47,45,low
2026-03-01T07:30Z,46,39,low
2026-03-01T08:00Z,51,47,low
2026-03-01T08:30Z,47,45,low
2026-03-01T09:00Z,51,50,low
2026-03-01T09:30Z,47,45,low
2026-03-01T10:00Z,47,48,low
2026-03-01T10:30Z,48,46,low
2026-03-01T11:00Z,47,47,low
2026-03-01T11:30Z,46,47,low
2026-03-01T12:00Z,46,46,low
2026-03-01T12:30Z,46,45,low
2026-03-01T13:00Z,46,44,low
2026-03-01T13:30Z,43,42,low
2026-03-01T14:00Z,39,43,low
2026-03-01T14:30Z,39,36,low
2026-03-01T15:00Z,42,28,low
2026-03-01T15:30Z,44,31,low
2026-03-01T16:00Z,52,30,low
2026-03-01T16:30Z,60,32,low
2026-03-01T17:00Z,70,42,low
2026-03-01T17:30Z,73,52,low
2026-03-01T18:00Z,72,62,low
2026-03-01T18:30Z,68,61,low
2026-03-01T19:00Z,66,62,low
2026-03-01T19:30Z,64,64,low
2026-03-01T20:00Z,62,59,low
2026-03-01T20:30Z,61,61,low
2026-03-01T21:00Z,61,57,low
2026-03-01T21:30Z,61,56,low
2026-03-01T22:00Z,57,51,low
2026-03-01T22:30Z,50,63,low
2026-03-01T23:00Z,49,58,low
2026-03-01T23:30Z,46,49,low
2026-03-02T00:00Z,45,47,low
2026-03-02T00:30Z,47,43,low
2026-03-02T01:00Z,48,41,low
2026-03-02T01:30Z,45,42,low
2026-03-02T02:00Z,46,40,low
2026-03-02T02:30Z,47,44,low
2026-03-02T03:00Z,46,42,low
2026-03-02T03:30Z,45,47,low
2026-03-02T04:00Z,44,45,low
2026-03-02T04:30Z,50,45,low
2026-03-02T05:00Z,51,45,low
2026-03-02T05:30Z,55,51,low
2026-03-02T06:00Z,62,52,low
2026-03-02T06:30Z,71,59,low
2026-03-02T07:00Z,74,64,low
2026-03-02T07:30Z,78,68,low
2026-03-02T08:00Z,79,72,low
2026-03-02T08:30Z,80,71,low
2026-03-02T09:00Z,82,74,low
2026-03-02T09:30Z,76,75,low
2026-03-02T10:00Z,74,74,low
2026-03-02T10:30Z,70,71,low
2026-03-02T11:00Z,65,68,low
2026-03-02T11:30Z,59,62,low
2026-03-02T12:00Z,62,61,low
2026-03-02T12:30Z,65,60,low
2026-03-02T13:00Z,67,67,low
2026-03-02T13:30Z,66,66,low
2026-03-02T14:00Z,63,61,low
2026-03-02T14:30Z,69,62,low
2026-03-02T15:00Z,87,59,low
2026-03-02T15:30Z,102,68,moderate
2026-03-02T16:00Z,121,91,moderate
2026-03-02T16:30Z,136,112,moderate
2026-03-02T17:00Z,143,134,moderate
2026-03-02T17:30Z,152,150,moderate
2026-03-02T18:00Z,154,147,moderate
2026-03-02T18:30Z,150,147,moderate
2026-03-02T19:00Z,139,147,moderate
2026-03-02T19:30Z,134,137,moderate
2026-03-02T20:00Z,127,139,moderate
2026-03-02T20:30Z,126,142,moderate
2026-03-02T21:00Z,125,129,moderate
2026-03-02T21:30Z,115,125,moderate
2026-03-02T22:00Z,113,126,moderate
2026-03-02T22:30Z,115,122,moderate
2026-03-02T23:00Z,120,125,moderate
2026-03-02T23:30Z,127,125,moderate
2026-03-03T00:00Z,133,136,moderate
2026-03-03T00:30Z,142,140,moderate
2026-03-03T01:00Z,145,152,moderate
2026-03-03T01:30Z,146,145,moderate
2026-03-03T02:00Z,148,162,moderate
2026-03-03T02:30Z,147,158,moderate
2026-03-03T03:00Z,150,157,moderate
2026-03-03T03:30Z,154,156,moderate
2026-03-03T04:00Z,154,155,moderate
2026-03-03T04:30Z,164,156,moderate
2026-03-03T05:00Z,178,164,high
2026-03-03T05:30Z,188,172,high
2026-03-03T06:00Z,208,200,high
2026-03-03T06:30Z,214,213,high
2026-03-03T07:00Z,204,219,high
2026-03-03T07:30Z,205,211,high
2026-03-03T08:00Z,198,219,high
2026-03-03T08:30Z,189,213,high
2026-03-03T09:00Z,184,213,high
2026-03-03T09:30Z,173,200,high
2026-03-03T10:00Z,166,198,moderate
2026-03-03T10:30Z,164,186,moderate
2026-03-03T11:00Z,161,178,moderate
2026-03-03T11:30Z,161,174,moderate
2026-03-03T12:00Z,159,174,moderate
2026-03-03T12:30Z,159,170,moderate
2026-03-03T13:00Z,166,167,moderate
2026-03-03T13:30Z,172,170,high
2026-03-03T14:00Z,175,175,high
2026-03-03T14:30Z,179,175,high
2026-03-03T15:00Z,191,185,high
2026-03-03T15:30Z,207,188,high
2026-03-03T16:00Z,218,202,high
2026-03-03T16:30Z,227,226,high
2026-03-03T17:00Z,237,234,very high
2026-03-03T17:30Z,242,251,very high
2026-03-03T18:00Z,240,257,very high
2026-03-03T18:30Z,234,254,very high
2026-03-03T19:00Z,233,251,very high
2026-03-03T19:30Z,224,243,high
2026-03-03T20:00Z,220,236,high
2026-03-03T20:30Z,208,232,high
2026-03-03T21:00Z,200,228,high
2026-03-03T21:30Z,183,213,high
2026-03-03T22:00Z,175,201,high
2026-03-03T22:30Z,159,182,moderate
2026-03-03T23:00Z,145,173,moderate
2026-03-03T23:30Z,137,163,moderate
2026-03-04T00:00Z,139,146,moderate
2026-03-04T00:30Z,143,148,moderate
2026-03-04T01:00Z,143,144,moderate
2026-03-04T01:30Z,146,145,moderate
2026-03-04T02:00Z,146,150,moderate
2026-03-04T02:30Z,144,153,moderate
2026-03-04T03:00Z,142,146,moderate
2026-03-04T03:30Z,144,145,moderate
2026-03-04T04:00Z,143,146,moderate
2026-03-04T04:30Z,151,146,moderate
2026-03-04T05:00Z,156,157,moderate
2026-03-04T05:30Z,164,165,moderate
2026-03-04T06:00Z,173,174,high
2026-03-04T06:30Z,178,191,high
2026-03-04T07:00Z,173,205,high
