Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2026-05-01T00:00Z,50,56,low
2026-05-01T00:30Z,52,50,low
2026-05-01T01:00Z,49,51,low
2026-05-01T01:30Z,50,50,low
2026-05-01T02:00Z,50,49,low
2026-05-01T02:30Z,54,49,low
2026-05-01T03:00Z,57,49,low
2026-05-01T03:30Z,54,49,low
2026-05-01T04:00Z,57,49,low
2026-05-01T04:30Z,62,76,low
2026-05-01T05:00Z,76,59,low
2026-05-01T05:30Z,86,63,low
2026-05-01T06:00Z,98,77,moderate
2026-05-01T06:30Z,101,82,moderate
2026-05-01T07:00Z,95,86,moderate
2026-05-01T07:30Z,91,83,moderate
2026-05-01T08:00Z,91,88,moderate
2026-05-01T08:30Z,84,83,low
2026-05-01T09:00Z,81,73,low
2026-05-01T09:30Z,81,74,low
2026-05-01T10:00Z,80,74,low
2026-05-01T10:30Z,77,78,low
2026-05-01T11:00Z,75,74,low
2026-05-01T11:30Z,69,75,low
2026-05-01T12:00Z,71,73,low
2026-05-01T12:30Z,72,72,low
2026-05-01T13:00Z,72,72,low
2026-05-01T13:30Z,70,70,low
2026-05-01T14:00Z,73,70,low
2026-05-01T14:30Z,76,73,low
2026-05-01T15:00Z,86,75,low
2026-05-01T15:30Z,100,83,moderate
2026-05-01T16:00Z,119,97,moderate
2026-05-01T16:30Z,127,110,moderate
2026-05-01T17:00Z,134,118,moderate
2026-05-01T17:30Z,142,131,moderate
2026-05-01T18:00Z,154,141,moderate
2026-05-01T18:30Z,157,148,moderate
2026-05-01T19:00Z,150,154,moderate
2026-05-01T19:30Z,148,161,moderate
2026-05-01T20:00Z,157,157,moderate
2026-05-01T20:30Z,156,155,moderate
2026-05-01T21:00Z,145,151,moderate
2026-05-01T21:30Z,140,147,moderate
2026-05-01T22:00Z,118,138,moderate
2026-05-01T22:30Z,108,134,moderate
2026-05-01T23:00Z,110,116,moderate
2026-05-01T23:30Z,110,109,moderate
2026-05-02T00:00Z,107,106,moderate
2026-05-02T00:30Z,110,106,moderate
2026-05-02T01:00Z,108,109,moderate
2026-05-02T01:30Z,109,109,moderate
2026-05-02T02:00Z,106,100,moderate
2026-05-02T02:30Z,104,106,moderate
2026-05-02T03:00Z,101,108,moderate
2026-05-02T03:30Z,105,103,moderate
2026-05-02T04:00Z,103,109,moderate
2026-05-02T04:30Z,104,111,moderate
2026-05-02T05:00Z,120,107,moderate
2026-05-02T05:30Z,120,103,moderate
2026-05-02T06:00Z,119,121,moderate
2026-05-02T06:30Z,117,132,moderate
2026-05-02T07:00Z,115,131,moderate
2026-05-02T07:30Z,109,118,moderate
2026-05-02T08:00Z,110,102,moderate
2026-05-02T08:30Z,98,103,moderate
2026-05-02T09:00Z,86,95,low
2026-05-02T09:30Z,80,86,low
2026-05-02T10:00Z,77,78,low
2026-05-02T10:30Z,74,77,low
2026-05-02T11:00Z,77,75,low
2026-05-02T11:30Z,73,73,low
2026-05-02T12:00Z,73,79,low
2026-05-02T12:30Z,75,72,low
2026-05-02T13:00Z,79,73,low
2026-05-02T13:30Z,86,76,low
2026-05-02T14:00Z,95,78,moderate
2026-05-02T14:30Z,109,82,moderate
2026-05-02T15:00Z,125,94,moderate
2026-05-02T15:30Z,143,102,moderate
2026-05-02T16:00Z,159,139,moderate
2026-05-02T16:30Z,168,145,moderate
2026-05-02T17:00Z,178,159,high
2026-05-02T17:30Z,182,165,high
2026-05-02T18:00Z,184,177,high
2026-05-02T18:30Z,187,174,high
2026-05-02T19:00Z,178,179,high
2026-05-02T19:30Z,182,185,high
2026-05-02T20:00Z,182,190,high
2026-05-02T20:30Z,178,187,high
2026-05-02T21:00Z,170,180,high
2026-05-02T21:30Z,166,165,moderate
2026-05-02T22:00Z,156,168,moderate
2026-05-02T22:30Z,147,161,moderate
2026-05-02T23:00Z,147,156,moderate
2026-05-02T23:30Z,140,148,moderate
2026-05-03T00:00Z,135,141,moderate
2026-05-03T00:30Z,128,143,moderate
2026-05-03T01:00Z,123,131,moderate
2026-05-03T01:30Z,115,128,moderate
2026-05-03T02:00Z,114,122,moderate
2026-05-03T02:30Z,113,120,moderate
2026-05-03T03:00Z,124,116,moderate
2026-05-03T03:30Z,122,110,moderate
2026-05-03T04:00Z,120,119,moderate
2026-05-03T04:30Z,117,127,moderate
2026-05-03T05:00Z,117,123,moderate
2026-05-03T05:30Z,117,123,moderate
2026-05-03T06:00Z,123,121,moderate
2026-05-03T06:30Z,125,124,moderate
2026-05-03T07:00Z,124,124,moderate
2026-05-03T07:30Z,120,122,moderate
2026-05-03T08:00Z,124,128,moderate
2026-05-03T08:30Z,121,120,moderate
2026-05-03T09:00Z,122,119,moderate
