Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2025-11-01T00:00Z,51,51,low
2025-11-01T00:30Z,49,46,low
2025-11-01T01:00Z,46,46,low
2025-11-01T01:30Z,43,49,low
2025-11-01T02:00Z,43,44,low
2025-11-01T02:30Z,44,42,low
2025-11-01T03:00Z,43,42,low
2025-11-01T03:30Z,43,43,low
2025-11-01T04:00Z,46,43,low
2025-11-01T04:30Z,48,45,low
2025-11-01T05:00Z,44,46,low
2025-11-01T05:30Z,45,46,low
2025-11-01T06:00Z,46,46,low
2025-11-01T06:30Z,47,46,low
2025-11-01T07:00Z,51,49,low
2025-11-01T07:30Z,53,35,low
2025-11-01T08:00Z,57,46,low
2025-11-01T08:30Z,50,43,low
2025-11-01T09:00Z,39,46,low
2025-11-01T09:30Z,36,41,low
2025-11-01T10:00Z,35,28,low
2025-11-01T10:30Z,33,27,low
2025-11-01T11:00Z,44,31,low
2025-11-01T11:30Z,44,29,low
2025-11-01T12:00Z,46,30,low
2025-11-01T12:30Z,48,33,low
2025-11-01T13:00Z,51,34,low
2025-11-01T13:30Z,53,42,low
2025-11-01T14:00Z,52,45,low
2025-11-01T14:30Z,57,50,low
2025-11-01T15:00Z,64,56,low
2025-11-01T15:30Z,75,62,low
2025-11-01T16:00Z,90,67,low
2025-11-01T16:30Z,100,78,moderate
2025-11-01T17:00Z,112,100,moderate
2025-11-01T17:30Z,118,110,moderate
2025-11-01T18:00Z,117,110,moderate
2025-11-01T18:30Z,112,115,moderate
2025-11-01T19:00Z,102,106,moderate
2025-11-01T19:30Z,94,102,low
2025-11-01T20:00Z,90,101,low
2025-11-01T20:30Z,84,88,low
2025-11-01T21:00Z,84,89,low
2025-11-01T21:30Z,78,78,low
2025-11-01T22:00Z,84,79,low
2025-11-01T22:30Z,76,75,low
2025-11-01T23:00Z,68,69,low
2025-11-01T23:30Z,64,79,low
2025-11-02T00:00Z,66,69,low
2025-11-02T00:30Z,63,64,low
2025-11-02T01:00Z,67,63,low
2025-11-02T01:30Z,66,63,low
2025-11-02T02:00Z,67,63,low
