Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2025-09-01T00:00Z,68,68,low
2025-09-01T00:30Z,68,62,low
2025-09-01T01:00Z,66,68,low
2025-09-01T01:30Z,68,68,low
2025-09-01T02:00Z,67,65,low
2025-09-01T02:30Z,69,66,low
2025-09-01T03:00Z,70,66,low
2025-09-01T03:30Z,71,67,low
2025-09-01T04:00Z,75,69,low
2025-09-01T04:30Z,76,71,low
2025-09-01T05:00Z,71,75,low
2025-09-01T05:30Z,74,75,low
2025-09-01T06:00Z,74,78,low
2025-09-01T06:30Z,75,65,low
2025-09-01T07:00Z,72,71,low
2025-09-01T07:30Z,66,64,low
2025-09-01T08:00Z,58,64,low
2025-09-01T08:30Z,53,60,low
2025-09-01T09:00Z,54,53,low
2025-09-01T09:30Z,47,46,low
2025-09-01T10:00Z,47,46,low
2025-09-01T10:30Z,45,41,low
2025-09-01T11:00Z,45,42,low
2025-09-01T11:30Z,43,42,low
2025-09-01T12:00Z,40,40,low
2025-09-01T12:30Z,41,40,low
2025-09-01T13:00Z,39,36,low
2025-09-01T13:30Z,38,32,low
2025-09-01T14:00Z,39,34,low
2025-09-01T14:30Z,40,36,low
2025-09-01T15:00Z,44,38,low
2025-09-01T15:30Z,52,44,low
2025-09-01T16:00Z,66,46,low
2025-09-01T16:30Z,74,55,low
2025-09-01T17:00Z,88,66,low
2025-09-01T17:30Z,95,79,low
2025-09-01T18:00Z,99,91,low
2025-09-01T18:30Z,105,92,moderate
2025-09-01T19:00Z,100,103,moderate
2025-09-01T19:30Z,100,104,moderate
2025-09-01T20:00Z,101,103,moderate
2025-09-01T20:30Z,94,95,low
2025-09-01T21:00Z,88,96,low
2025-09-01T21:30Z,80,91,low
2025-09-01T22:00Z,67,86,low
2025-09-01T22:30Z,67,82,low
2025-09-01T23:00Z,71,68,low
2025-09-01T23:30Z,74,67,low
2025-09-02T00:00Z,73,67,low
2025-09-02T00:30Z,77,73,low
2025-09-02T01:00Z,73,74,low
2025-09-02T01:30Z,74,78,low
2025-09-02T02:00Z,75,76,low
2025-09-02T02:30Z,77,75,low
2025-09-02T03:00Z,84,77,low
2025-09-02T03:30Z,89,81,low
2025-09-02T04:00Z,101,85,moderate
2025-09-02T04:30Z,127,92,moderate
2025-09-02T05:00Z,151,111,moderate
2025-09-02T05:30Z,166,148,moderate
2025-09-02T06:00Z,169,162,moderate
2025-09-02T06:30Z,166,172,moderate
2025-09-02T07:00Z,162,178,moderate
2025-09-02T07:30Z,156,169,moderate
2025-09-02T08:00Z,153,158,moderate
2025-09-02T08:30Z,144,156,moderate
2025-09-02T09:00Z,137,149,moderate
2025-09-02T09:30Z,132,136,moderate
2025-09-02T10:00Z,134,130,moderate
2025-09-02T10:30Z,139,130,moderate
2025-09-02T11:00Z,135,132,moderate
2025-09-02T11:30Z,134,141,moderate
2025-09-02T12:00Z,134,140,moderate
2025-09-02T12:30Z,136,137,moderate
2025-09-02T13:00Z,141,140,moderate
2025-09-02T13:30Z,149,138,moderate
2025-09-02T14:00Z,147,141,moderate
2025-09-02T14:30Z,149,147,moderate
2025-09-02T15:00Z,152,153,moderate
2025-09-02T15:30Z,163,152,moderate
2025-09-02T16:00Z,172,165,moderate
2025-09-02T16:30Z,176,172,moderate
2025-09-02T17:00Z,183,183,high
2025-09-02T17:30Z,184,179,high
2025-09-02T18:00Z,182,191,high
2025-09-02T18:30Z,180,194,high
2025-09-02T19:00Z,179,190,moderate
2025-09-02T19:30Z,178,185,moderate
2025-09-02T20:00Z,173,187,moderate
2025-09-02T20:30Z,165,187,moderate
2025-09-02T21:00Z,158,177,moderate
2025-09-02T21:30Z,153,164,moderate
2025-09-02T22:00Z,141,159,moderate
2025-09-02T22:30Z,128,147,moderate
2025-09-02T23:00Z,121,143,moderate
2025-09-02T23:30Z,116,140,moderate
2025-09-03T00:00Z,118,130,moderate
2025-09-03T00:30Z,115,109,moderate
